entry_id,contract_id,qty,unit_price_raw,amount_raw
70547,10160,"48,287",8733.2879,"KRW 421,704,273"
70548,10159,"19,742",3202.8017,"63,229,711.00"
70549,10044,"46,153",5125.0599,236536890
70550,10334,"3,033",3657.2257,"KRW 11,092,366"
70551,10071,"11,856",1671.6779,19819413
70552,10001,"27,668",6870.4353,"190,091,204"
70553,10190,"51,153",452.6678,"23,155,316.00"
70554,10292,"36,678",8915.3810,326998344
70555,10213,"27,755",1164.3739,"₩32,317,198"
70556,10156,"24,027",1376.5566,33074525
70557,10190,"24,107",3387.1429,"(81,653,854.00)"
70558,10374,"22,981",5883.3891,135206165
70559,10257,"51,398",2284.9304,"117,440,853"
70560,10339,"39,711",454.8766,"  18,063,605  "
70561,10240,"14,652",6810.5806,"99,788,627.00"
70562,10107,"17,162",8318.2165,"(₩142,757,232)"
70563,10130,"49,916",358.3483,-
70564,10044,"10,244",2216.6176,"  22,707,031  "
70565,10386,"29,487",7372.4615,
70566,10125,"41,151",5527.1541,"227,447,918.00"
70567,10007,"34,327",5161.5482,"KRW 177,180,465"
70568,10342,"6,894",5127.7619,35350791
70569,10222,"51,201",350.3688,"17,939,233.00"
70570,10101,"3,040",5799.3101,"  17,629,903  "
70571,10077,"38,136",1632.6217,"62,261,661"
70572,10310,"23,156",5414.3243,"KRW 125,374,093"
70573,10195,"43,873",2265.7257,"  99,404,184  "
70574,10009,"8,310",8717.3128,"72,440,869.00"
70575,10360,"34,561",3361.2892,"₩116,169,516"
70576,10034,"4,625",7015.1207,"(32,444,933)"
70577,10092,"21,575",3974.1164,"  85,741,561  "
70578,10098,"15,303",8171.4065,"125,047,034.00"
70579,10309,"51,383",3406.2190,"₩175,021,751"
70580,10210,"43,497",5745.6942,"KRW 249,920,461"
70581,10147,"38,474",5468.3879,"KRW 210,390,756"
70582,10077,"25,045",457.6397,"11,461,586.00"
70583,10238,478,8702.0734,4159591
70584,10222,"10,677",3773.6470,"KRW 40,291,229"
70585,10172,"33,051",666.9916,"₩22,044,739"
70586,10326,"21,172",152.0690,"  3,219,605  "
70587,10269,"9,481",2695.3292,"25,554,416"
70588,10316,"23,354",2735.6710,"KRW 63,888,861"
70589,10118,"23,109",5531.6729,"127,831,429"
70590,10138,"46,153",6708.2494,"KRW 309,605,835"
70591,10366,"41,125",7191.8993,295766859
70592,10113,"26,455",2917.5743,"77,184,428"
70593,10151,"35,179",2042.8924,71866912
70594,10215,"15,183",4238.0472,"KRW 64,346,271"
70595,10057,"39,998",3002.3231,"  120,086,919  "
70596,10110,"41,500",7162.8886,
70597,10045,"59,574",8854.7379,527512156
70598,10271,"43,507",2017.0369,"KRW 87,755,224"
70599,10190,"30,460",8725.2712,"KRW 265,771,761"
70600,10162,"44,648",5001.4940,"  223,306,704  "
